id,title,description,type,release_year,genres,directors,actors
3875,under the eiffel tower,"stuart is a having a mid-life crisis. desperate for something more in life, he tags along on his best friend's family vacation to paris - then proposes to his friend's 24-year-old daughter, rosalind, while standing under the eiffel tower.",movie,2019,romance|comedy,archie-borders,matt-walsh|judith-godrèche|reid-scott|michaela-watkins|david-wain|dylan-gelula|gary-cole|ary-abittan|morgan-walsh|avant-strangel
3876,russian doll,nadia keeps dying and reliving her 36th birthday party. she's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,show,2019,comedy|drama,,natasha-lyonne|charlie-barnett|greta-lee|elizabeth-ashley|chloë-sevigny
3877,trailer park boys: the animated series,"nova scotia’s favorite miscreants have always been super sketchy. now, carrying on from the season 12 finale, the boys have become complete cartoons.",show,2019,animation|comedy,,mike-smith|john-paul-tremblay|robb-wells
3878,love & anarchy,a married consultant and a young it tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,show,2020,comedy|drama|romance,,ida-engvoll|björn-mosten|carla-sehn|gizem-erdogan|björn-kjellman|reine-brynolfsson
3879,kaali khuhi,"when a restless spirit curses a punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, shivangi.",movie,2020,thriller|horror|drama,terrie-samundra,shabana-azmi|riva-arora|satyadeep-misra|sanjeeda-sheikh|leela-samson
3880,over the moon,"in this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",movie,2020,comedy|family|fantasy|scifi|romance|animation,glen-keane,cathy-ang|phillipa-soo|ken-jeong|john-cho|sandra-oh|ruthie-ann-miles|margaret-cho|kimiko-glenn|artt-butler|irene-tsu|clem-cheung|conrad-ricamora|brittany-ishibashi|janice-kawaye|glen-keane|james-taku-leung|elizabeth-pan|josiah-d.-lee|david-chen|meilee-condron|ewan-chung|john-kahrs|esther-chae|lucy-lin
3881,occupation: rainfall,"two years after aliens land on earth, survivors from sydney, australia, fight in a desperate war as the number of casualties continue to grow.",movie,2020,scifi|action,luke-sparke,dan-ewing|jet-tranter|temuera-morrison|ken-jeong|jason-isaacs|daniel-gillies|lawrence-makoare|dena-kaplan|vince-colosimo|katrina-risteska|erin-connor|trystan-go|mark-coles-smith|david-roberts
3882,horse girl,"a socially awkward woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",movie,2020,drama,jeff-baena,alison-brie|debby-ryan|john-reynolds|molly-shannon|john-ortiz|meredith-hagner|jake-picking|david-paymer|jay-duplass|toby-huss|lauren-weedman|angela-trimbur|aaron-stanford|matthew-gray-gubler|robin-tunney|paul-reiser|stella-chestnut|mary-apick|dylan-gelula|andrew-patrick-ralston|dendrie-taylor|zoe-saltz|victoria-clare|luis-fernandez-gil|allan-mcleod|bonnie-burroughs|sharae-nikai|goldenite
3883,tiger king,a zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.,show,2020,documentation|crime,,
3884,father soldier son,"when sgt. first class brian eisch is critically wounded in afghanistan, it sets him and his sons on a journey of love, loss, redemption and legacy.",movie,2020,war|documentation,leslye-davis|catrin-einhorn,brian-eisch|isaac-eisch|joey-eisch|roxanne-gregory
3885,ghost in the shell: sac_2045,"after a global financial crisis, the world is engulfed in an ai-driven ""sustainable war."" it's up to section 9 to counter new forms of cyber threats.",show,2020,scifi|action|animation|crime|drama|thriller,,atsuko-tanaka|akio-otsuka|koichi-yamadera|yutaka-nakano|toru-okawa|takashi-onozuka|taro-yamaguchi|sakiko-tamagawa|osamu-saka|megumi-han|kenjiro-tsuda|megumi-hayashibara
3886,george lopez: we'll do it for half,"comedian george lopez tackles the future and the past of latinx culture in america, touching on immigration, his tough relatives, aging and much more.",movie,2020,comedy,troy-miller,george-lopez
3887,"rob schneider: asian momma, mexican kids","former ""saturday night live"" star rob schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special. ending with a surprise duet performance with his daughter, singer-songwriter elle king, rob talks about potty training his young daughters and his own pig potential.",movie,2020,comedy,tyler-spindel,rob-schneider|elle-king
3888,the old ways,"cristina, a journalist of mexican origin, travels to her ancestral home in veracruz to investigate a story of sorcery and healing. there, she is kidnapped by a group of locals who claim she's the devil incarnated.",movie,2020,fantasy|horror|thriller|drama,christopher-alender,brigitte-kali-canales|andrea-cortés|julian-lerma|sal-lopez|julia-vera|aj-bowen
3889,the water man,"hoping to save his sick mother, a boy named gunner and his friend jo venture into the remote wild horse forest to search for a mythical figure who possesses the secret to immortality. when they go missing, gunner's father amos must immerse himself in his son's world to find them.",movie,2020,action|thriller|drama|family|fantasy,david-oyelowo,david-oyelowo|amiah-miller|lonnie-chavis|rosario-dawson|maria-bello|alfred-molina|aaron-trainor|ted-rooney|jessica-oyelowo|john-henry-whitaker|jennifer-lanier|colby-dahlstrom|adam-dunlap|josh-trerise|jack-lanning|brianne-huggins
3890,krishna and his leela,"torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit.",movie,2020,comedy|romance,,
3891,j-style trip,megastar jay chou joins his a-list friends in this globe-trotting variety show packed with music and magic tricks.,show,2020,reality,,jay-chou|funky-tu|kuan-lin-chen
3892,a go! go! cory carson halloween,"cory, chrissy and freddie are on the hunt for king-sized candy bars this halloween! but are all the treats worth the trek to the spooky side of town?",movie,2020,animation|family|horror,stanley-moore|alex-woo,alan-c.-lim|maisie-benson|smith-foreman|ann-kendrick|kerry-gudjohnsen|paul-killam|stanley-moore|tyler-hendrix|ella-joy-ballesteros|jimmy-olea|jim-capobianco|pfeiffer-chastain|paden-andrews|meredith-leo
3893,we summon the darkness,three best friends attending a heavy-metal show cross paths with sadistic killers after they travel to a secluded country home for an after party.,movie,2020,thriller|horror|comedy|music,marc-meyers,allison-mcatee|amy-forsyth|johnny-knoxville|alexandra-daddario|austin-swift|logan-miller|keean-johnson|steve-pacaud|derek-james-trapp|erik-athavale|tanner-beard|maddie-hasson|dennis-scullard|carlo-harrietha
3894,kipo and the age of wonderbeasts,a girl explores the possibilities in a post-apocalyptic world.,show,2020,comedy|family|fantasy|scifi|animation|action,,coy-stewart|sydney-mikayla|deon-cole|jake-green|karen-fukuhara
3895,down to earth with zac efron,"actor zac efron journeys around the world with wellness expert darin olien in a travel show that explores healthy, sustainable ways to live.",show,2020,documentation|history|reality,,zac-efron|darin-olien
3896,kiss the ground,"sheds light on an alternative approach to farming called “regenerative agriculture” that could balance our climate, replenish our vast water supplies, and feed the world.",movie,2020,documentation,rebecca-harrell-tickell|joshua-tickell,woody-harrelson|david-arquette|gisele-bündchen|rosario-dawson|jason-mraz|ian-somerhalder|patricia-arquette
3897,too hot to handle,"on the shores of paradise, gorgeous singles meet and mingle. but there’s a twist. to win a $100,000 grand prize, they’ll have to give up sex.",show,2020,reality|romance,,bruna-louise
3898,the lost husband,"trying to put her life back together after the death of her husband, libby and her children move to her estranged aunt's goat farm in central texas.",movie,2020,romance|drama,vicky-wight,leslie-bibb|josh-duhamel|nora-dunn|herizen-f.-guardiola|kevin-alejandro|isiah-whitlock-jr.|sharon-lawrence|georgia-king|carly-pope|callie-haverda
3899,into the beat,a ballerina discovers hip-hop by chance and is faced with an impossible choice: does she pursue her family's legacy or her newfound love.,movie,2020,music|romance|drama|european,stefan-westerwelle,alexandra-pfeifer|yalany-marschner|trystan-pütter|katrin-pollitt|helen-schneider|ina-geraldine-guy|anton-wichers|julius-nitschkoff|dennis-kyere|julia-strowski|nadja-stübiger
3900,bhangra paa le,jaggi comes from a punjabi background and he aspires to take the popular punjabi dance form of 'bhangra' to an international platform and passionately works towards his dream. he meets his college rival in simi and they both compete with each other to win the international dance competition.,movie,2020,music|comedy|drama,sneha-taurani,sunny-kaushal|rukshar-dhillon|shriya-pilgaonkar|parmeet-sethi|jayati-bhatia|samir-soni|sheeba-chaddha|seema-kaushal|kamlesh-gill
3901,six windows in the desert,"from a theatre play to the aftermath of a plane crash, this collection of shorts from saudi filmmakers depicts the nuances of saudi arabian culture.",show,2020,drama|scifi|comedy|history,,
3902,ari eldjárn: pardon my icelandic,"comedian ari eldjárn pokes fun at nordic rivalries, hollywood’s take on thor, the whims of toddlers and more.",movie,2020,comedy,august-jakobsson,ari-eldjárn
3903,the paper tigers,three middle aged men polish their martial arts skills to avenge their fallen master.,movie,2020,comedy|action,quoc-bao-tran,alain-uy|ron-yuan|mykel-shannon-jenkins|yuji-okumoto|yoshi-sudarso|jae-suh-park|peter-sudarso|roger-yuan|matthew-page|gui-dasilva-greene|annette-toutonghi|ray-hopper|joziah-lagonoy|andy-le|ken-quitugua|brian-le|phillip-dang
3904,뽀로로 동화나라,,show,2020,animation,,
3905,one-way to tomorrow,"two strangers meet on a journey from ankara to izmir. although having a rough start, their relationship takes a different path when they realize they have to confront themselves and would like to clean the slate as they get to know each other.",movie,2020,comedy|romance|drama,ozan-açıktan,metin-akdülger|dilan-çiçek-deniz|tevfik-kartal|fatma-filiz-sencan|omur-kayakirilmaz
3906,bread barbershop,"in a town filled with food, bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",show,2020,animation,,
3907,dark forces,"in search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",movie,2020,horror|thriller|action,bernardo-arellano,tenoch-huerta|eréndira-ibarra|ariane-pellicer|nick-zedd|mauricio-aspe|johana-fragoso-blendl|dale-carley|angel-garnica|daina-soledad-liparoti
3908,omo ghetto: the saga,omo ghetto (child of the ghetto) franchise tells the story of twin sisters leading separate lives but are reunited by series of dramatic twists.,movie,2020,comedy|action|drama,funke-akindele,funke-akindele|chioma-chukwuka-akpotha|eniola-badmus|bimbo-thomas|akah-nnani
3909,the three deaths of marisela escobedo,follows a mother's tireless crusade to jail her daughter's murderer after mexico's justice system failed to do so.,movie,2020,crime|documentation,,juan-manuel-fraire-escobedo|alejandro-fraire|blanca-escobedo|patricia-gonzález|ruth-fierro
3910,malibu rescue: the next wave,"it’s summer again, and everyone’s favorite junior rescuers, the flounders, are back at tower 2. with the international junior rescue championships headed to southern california, the eyes of the entire planet are on malibu beach. but when team usa falls victim to a bout of food poisoning, it’s up to tyler, dylan, eric, lizzie and gina to represent their country in the world's most extreme lifeguard challenge!",movie,2020,comedy|family|action,savage-steve-holland,jackie-r.-jacobson|jeremy-howard|breanna-yde|abby-donnelly|ricardo-hurtado|jt-neal|kirrilee-berger|alkoya-brunson|lauren-gaw|ella-mckenzie|nate-richman|paulina-alvarez|camaron-engels|molly-haldeman|katherine-klosterman|ella-gross|carlos-sanson-jr.|michael-mourra
3911,milestone,"as soon as veteran driver ghalib’s truck touches the 500,000 kilometers mark - a record at his company - he is struck by a sudden pain in his back. as ghalib struggles with this ache, an existential threat begins to overwhelm him when he is asked to train a young new driver.",movie,2020,drama,ivan-ayr,suvinder-pal-vicky|lakshvir-saran|mohinder-gujral|gurinder-makna|daljeet-singh|akhilesh-kumar|gaurika-bhatt|arun-aseng|pavitra-mattoo|jibran-dar
3912,bhaag beanie bhaag,"facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up.",show,2020,drama,debbie-rao,swara-bhaskar|dolly-singh|ravi-patel|varun-thakur
3913,taj mahal 1989,"in and around lucknow university in 1989, couples of varying ages explore the politics of love through marriage, budding romances and friendships.",show,2020,drama|comedy|romance,,neeraj-kabi|geetanjali-kulkarni|sheeba-chaddha|danish-husain|anshul-chauhan|anud-singh-dhaka|mihir-ahuja
3914,showtime 1958,"the true story behind the iconic selamat hari raya song written in 1958, by p. ramlee and jamil sulong during a variety show which they had organised to collect funds for fellow performers and friends who had lost their jobs at the studio.",movie,2020,drama,anwardi-jamil,fatin-afeefa|farah-ahmad|henzi-andalas|chi-azim|amai-kamarudin|mubarak-majid|aprena-manrose|bell-ngasri|halim-sabir
3915,itaewon class,"in a colorful seoul neighborhood, an ex-con and his friends fight a mighty foe to make their ambitious dreams for their street bar a reality.",show,2020,drama|romance,kim-seong-yoon,park-seo-jun|kim-da-mi|kwon-na-ra|you-chea-myung|ahn-bo-hyun|kim-dong-hee|lee-joo-young|ryu-kyung-soo|lee-da-wit|kim-hye-eun|yoon-kyung-ho|chris-lyon|son-hyun-joo|kim-yeo-jin|won-hyun-jun
3916,dick johnson is dead,"with this inventive portrait, director kirsten johnson seeks a way to keep her 86-year-old father alive forever. utilizing moviemaking magic and her family’s dark humor, she celebrates dr. dick johnson’s last years by staging fantasies of death and beyond. together, dad and daughter confront the great inevitability awaiting us all.",movie,2020,documentation|drama,kirsten-johnson,richard-johnson|kirsten-johnson|isla-sierck|jed-sierck|felix-torres|viva-torres|raymond-damazo|michael-hilow|michael-melton|joanne-reiner-tucker|ken-tucker|laurie-mcewan|lyn-schildwachter|julie-tilton|ira-sachs|boris-torres|joyce-fogel|lolita-hirst|kirk-johnson|marta-bida|simona-vuletic|chase-deforest|catherine-joy-johnson|michael-fatica|mary-page-nance|fredi-bernstein|ana-hoffman|vasthy-mompoint|nicole-tio|adi-gonzalez|dexter-buell|kevin-loreque|morgan-green|ahsan-ali|samantha-everette-clowes
